clf,columns,score,algo
Gaussian,['t_x1' 't_x2'],0.7122963427564476,nb
Gaussian,['t_x1' 't_x3'],0.44109433567791173,nb
Gaussian,['t_x1' 't_x4'],0.722100264325075,nb
Gaussian,['t_x1' 't_x5'],0.7621671669429385,nb
Gaussian,['t_x1' 't_x6'],0.7300150829562594,nb
Gaussian,['t_x1' 't_x7'],0.7807893911563103,nb
Gaussian,['t_x1' 't_x8'],0.7609127428579963,nb
Gaussian,['t_x2' 't_x3'],0.44109433567791173,nb
Gaussian,['t_x2' 't_x4'],0.6673237459492555,nb
Gaussian,['t_x2' 't_x5'],0.7245717784448128,nb
Gaussian,['t_x2' 't_x6'],0.6689888445858161,nb
Gaussian,['t_x2' 't_x7'],0.6702059346206113,nb
Gaussian,['t_x2' 't_x8'],0.6687125726147275,nb
Gaussian,['t_x3' 't_x4'],0.44109433567791173,nb
Gaussian,['t_x3' 't_x5'],0.44109433567791173,nb
Gaussian,['t_x3' 't_x6'],0.4441333273598853,nb
Gaussian,['t_x3' 't_x7'],0.5353852127294177,nb
Gaussian,['t_x3' 't_x8'],0.47150665292773625,nb
Gaussian,['t_x4' 't_x5'],0.7978137180233861,nb
Gaussian,['t_x4' 't_x6'],0.655451518002479,nb
Gaussian,['t_x4' 't_x7'],0.8025103415318907,nb
Gaussian,['t_x4' 't_x8'],0.7451353732658333,nb
Gaussian,['t_x5' 't_x6'],0.7949912638322657,nb
Gaussian,['t_x5' 't_x7'],0.8006660394546241,nb
Gaussian,['t_x5' 't_x8'],0.7953795379537953,nb
Gaussian,['t_x6' 't_x7'],0.810634230843899,nb
Gaussian,['t_x6' 't_x8'],0.7538939414303422,nb
Gaussian,['t_x7' 't_x8'],0.7597927213535834,nb
Gaussian,['t_x1' 't_x2' 't_x3'],0.5538581007422009,nb
Gaussian,['t_x1' 't_x2' 't_x4'],0.7098248286367098,nb
Gaussian,['t_x1' 't_x2' 't_x5'],0.7159177456207159,nb
Gaussian,['t_x1' 't_x2' 't_x6'],0.712497946627242,nb
Gaussian,['t_x1' 't_x2' 't_x7'],0.7031644340904678,nb
Gaussian,['t_x1' 't_x2' 't_x8'],0.7066439675641772,nb
Gaussian,['t_x1' 't_x3' 't_x4'],0.44109433567791173,nb
Gaussian,['t_x1' 't_x3' 't_x5'],0.46430864805937605,nb
Gaussian,['t_x1' 't_x3' 't_x6'],0.4472992548123591,nb
Gaussian,['t_x1' 't_x3' 't_x7'],0.5784089721189313,nb
Gaussian,['t_x1' 't_x3' 't_x8'],0.524864477397966,nb
Gaussian,['t_x1' 't_x4' 't_x5'],0.7659976404880308,nb
Gaussian,['t_x1' 't_x4' 't_x6'],0.7363618714812658,nb
Gaussian,['t_x1' 't_x4' 't_x7'],0.79879187013724,nb
Gaussian,['t_x1' 't_x4' 't_x8'],0.7774965279333363,nb
Gaussian,['t_x1' 't_x5' 't_x6'],0.7633842569777339,nb
Gaussian,['t_x1' 't_x5' 't_x7'],0.7965518271284141,nb
Gaussian,['t_x1' 't_x5' 't_x8'],0.7773770589728656,nb
Gaussian,['t_x1' 't_x6' 't_x7'],0.7896076938010542,nb
Gaussian,['t_x1' 't_x6' 't_x8'],0.7743978017711273,nb
Gaussian,['t_x1' 't_x7' 't_x8'],0.8007033735047714,nb
Gaussian,['t_x2' 't_x3' 't_x4'],0.44109433567791173,nb
Gaussian,['t_x2' 't_x3' 't_x5'],0.5512447172319042,nb
Gaussian,['t_x2' 't_x3' 't_x6'],0.47230560160088414,nb
Gaussian,['t_x2' 't_x3' 't_x7'],0.5988680315995399,nb
Gaussian,['t_x2' 't_x3' 't_x8'],0.5432178964502785,nb
Gaussian,['t_x2' 't_x4' 't_x5'],0.7251467228170781,nb
Gaussian,['t_x2' 't_x4' 't_x6'],0.6685035019339037,nb
Gaussian,['t_x2' 't_x4' 't_x7'],0.6741558771261742,nb
Gaussian,['t_x2' 't_x4' 't_x8'],0.6691307139763749,nb
Gaussian,['t_x2' 't_x5' 't_x6'],0.7192554097038663,nb
Gaussian,['t_x2' 't_x5' 't_x7'],0.7590460403506413,nb
Gaussian,['t_x2' 't_x5' 't_x8'],0.7356973253886475,nb
Gaussian,['t_x2' 't_x6' 't_x7'],0.6708182130430238,nb
Gaussian,['t_x2' 't_x6' 't_x8'],0.6692800501769635,nb
Gaussian,['t_x2' 't_x7' 't_x8'],0.726035273210579,nb
Gaussian,['t_x3' 't_x4' 't_x5'],0.44109433567791173,nb
Gaussian,['t_x3' 't_x4' 't_x6'],0.4446784044920329,nb
Gaussian,['t_x3' 't_x4' 't_x7'],0.5417992025446888,nb
Gaussian,['t_x3' 't_x4' 't_x8'],0.4731269507041202,nb
Gaussian,['t_x3' 't_x5' 't_x6'],0.4493003599002434,nb
Gaussian,['t_x3' 't_x5' 't_x7'],0.5870854053731164,nb
Gaussian,['t_x3' 't_x5' 't_x8'],0.5231396442811702,nb
Gaussian,['t_x3' 't_x6' 't_x7'],0.538633275092215,nb
Gaussian,['t_x3' 't_x6' 't_x8'],0.47443364245926856,nb
Gaussian,['t_x3' 't_x7' 't_x8'],0.5689858578618042,nb
Gaussian,['t_x4' 't_x5' 't_x6'],0.8035930289861565,nb
Gaussian,['t_x4' 't_x5' 't_x7'],0.8114331795170467,nb
Gaussian,['t_x4' 't_x5' 't_x8'],0.8115227812373997,nb
Gaussian,['t_x4' 't_x6' 't_x7'],0.8343264190672461,nb
Gaussian,['t_x4' 't_x6' 't_x8'],0.7711796066484476,nb
